parl_session,person,speech,title,position
61042a817ba645282cb84fb4,60d4cc58c4ced20a9c9dfec2,"Гласувайте това предложение.
Гласували 129 народни представители: за 125, против 3, въздържал се 1.
Предложението на господин Петър Мръцков за тридневен срок за писмени предложения между първо и второ четене на Законопроекта за изменение и допълнение на Закона за бюджета на Държавното обществено осигуряване е прието.

Преминаваме към следващата точка от дневния ред:
ЗАКОНОПРОЕКТ ЗА ИЗМЕНЕНИЕ И ДОПЪЛНЕНИЕ НА ЗАКОНА ЗА ТРАНСПЛАНТАЦИЯ НА ОРГАНИ, ТЪКАНИ И КЛЕТКИ – първо четене.
По законопроекта бяха представени докладите, сега предстои да бъдат представени мотиви на вносителите и евентуално обсъждане.",Председател Георги Пирински,house-speaker
61042a817ba645282cb84fb4,60d4cc57c4ced20a9c9dfcd0,"Уважаеми господин председател, уважаеми колеги! Правя процедурно предложение срокът за писмени предложения между първо и второ четене на току-що приетия Законопроект за изменение и допълнение на Закона за бюджета на Държавното обществено осигуряване за 2007 г. да бъде три дни.",Петър Мръцков,parl-member
61042a817ba645282cb84fb4,60d4cc58c4ced20a9c9dfec2,"Благодаря.
Моля, гласувайте отново направеното предложение.
Гласували 157 народни представители: за 73, против 25, въздържали се 59.
Предложението не се приема.
Подлагам на гласуване текста на новия § 29 по предложение на комисията и в окончателна редакция, предложена от комисията.
Гласували 138 народни представители: за 112, против 16, въздържали се 10.
Текстът е приет.
Последното гласуване по законопроекта, а именно на текстовете на § 24 и 25, които стават § 30 и 31 по вносител, § 26, който става § 32, ал. 1 по вносител, ал. 2 в редакция на комисията, параграфи от 27 до 31, които стават 33-37 по вносител, наименованието “Преходни и заключителни разпоредби”, новият § 38 по предложение на народните представители Несрин Узун и Йордан Ахмедов по § 31, подкрепен от комисията, § 32 и 33, които стават 39 и 40 в редакция на комисията и § 34 и 35, които стават 41 и 42 по вносител.
Моля, гласувайте тези текстове.
Гласували 146 народни представители: за 132, против няма, въздържали се 14.
Текстовете са приети, а с това на второ четене - Законът за изменение и допълнение на Закона за автомобилните превози, с което поне по този пункт излизаме от почервеняващата зона за опасност за санкции от страна на европейските инстанции. Виждам, че представителите на Министерството на транспорта с облекчение се отправят към изхода на залата.
Преминаваме към следващото гласуване на първо четене на Законопроекта за изменение и допълнение на Закона за административното регулиране на производството на оптични дискове, матрици и други носители, съдържащи обекти на авторското право и сродните му права, внесени от Министерския съвет на 4 юли 2007 г.
Моля, гласувайте на първо четене този законопроект.
Гласували 126 народни представители: за 119, против няма, въздържали се 7.
Законопроектът е приет на първо четене.
Следващият законопроект, който следва да гласуваме на първо четене, уважаеми колеги, е: Законопроект за изменение и допълнение на Закона за  устройството на държавния бюджет с вносители Петър Димитров, Алиосман Имамов и Надя Антонова и с дата на внасяне 6 юли 2007 г.
Моля, гласувайте.
Гласували 142 народни представители: за 117, против 15, въздържали се 10.
Законопроектът е приет на първо четене.
Следващото гласуване, също на първо четене, е на три законопроекта, обсъждани вчера, а именно законопроекти за изменение и допълнение на Закона за бюджета на Държавното обществено осигуряване.
Първият законопроект е с § 754-01-4 с вносител Яне Янев, датата е 16 януари 2007 г.
Моля, гласувайте на първо четене този законопроект.
Гласували 131 народни представители: за 33, против 73, въздържали се 25.
Законопроектът не се приема.
Следващият законопроект е с § 754-01-92 с вносители Евгений Жеков и Борислав Българинов и дата 29 юни 2007 г.
Моля, гласувайте този законопроект.
Гласували 135 народни представители: за 36, против 5, въздържали се 94.
Законопроектът не се приема.
Следващият законопроект е с № 702-01-39 с вносител Министерският съвет от 5 септември 2007 г.
Моля, гласувайте този законопроект.
Гласували 127 народни представители: за 126, против 1, въздържали се няма.
Законопроектът е приет на първо четене.
С това, уважаеми колеги се изчерпват гласуванията, които следваше да проведем.

Има и едно съобщение, което трябва да направя. Съобщението е следното. С писмо до председателя на парламента с вчерашна дата народните представители Тодор Кумчев, Янаки Стоилов и Ива Станкова съобщават, че на основание чл. 72 от Правилника за организацията и дейността на Народното събрание оттегля, внесения от тях на 7 февруари м.г. Законопроект за изменение и допълнение на Закона за здравното осигуряване № 654-01-16. Това е, което съобщават колегите народни представители.

Уважаеми колеги, преминаваме към точка първа, която гласувахме в началото на днешния пленарен ден:
ПРОЕКТ ЗА РЕШЕНИЕ ЗА ПРЕКРАТЯВАНЕ НА ПЪЛНОМОЩИЯТА НА НАРОДЕН ПРЕДСТАВИТЕЛ.
До председателя на Народното събрание на Република България е отправено писмо с дата 13 септември 2007 г., тоест вчера:
„Уважаеми господин председател, с настоящото заявление декларирам желанието си за предсрочно прекратяване на пълномощията ми като народен представител в 40-то Народно събрание, избран от листата на Коалиция „Обединени демократични сили” в Шестнадесети многомандатен избирателен район Пловдив – град.
Моля горното изявление на основание чл. 72, ал. 1 от Конституцията на Република България да се счита за подаване на оставка пред Народното събрание.
Независимо от този акт оставам с чувства на най-искрено уважение към работата на 40-то Народно събрание и неговите народни представители.
Желая на българския парламент успех в бъдещата му работа!
София, 12 септември 2007 г.
Петър Стоянов – народен представител от Коалиция „Обединени демократични сили”, президент на Република България 1997-2002 г.”
Текстът, който е необходимо да бъде представен на вашето внимание като проект за решение, с процедурен характер по-скоро, за прекратяване на пълномощията на народен представител, е:

„РЕШЕНИЕ

Народното събрание на основание чл. 72, ал. 1, т. 1 и ал. 2 от Конституцията на Република България
Р Е Ш И:
Прекратява пълномощията на Петър Стефанов Стоянов – народен представител от Шестнадесети многомандатен избирателен район – Пловдив.”
Това е желанието, това е и проектът за решение, който следва да гласуваме. Не виждам желаещи да вземат отношение по този проект за решение.
Подлагам на гласуване проекта за решение за прекратяване на пълномощията на народен представител.
Гласували 127 народни представители: за 119, против 4, въздържали се 4.
Решението е прието.
Има думата за процедура господин Петър Мръцков.",Председател Георги Пирински,house-speaker
61042a817ba645282cb84fb4,60d4cc58c4ced20a9c9dff3a,"Уважаеми господин председател, уважаеми колеги! Като правя процедурно предложение за прегласуване, апелирам към вас за подкрепа на това предложение. Зная, че при обсъждането на второ четене на закона в пленарната зала я имаше – я нямаше двадесетина души, искам затова да поясня в какво се състои предложението.
След трагичната катастрофа в р. Лим в българското законодателство от м. април бяха забранени организираните нощни пътувания на деца и ученици. Настояването, което се прави от превозвачите и по този начин е отразено това в тази промяна, е да се разрешат нощните пътувания, когато са трансфери като част от организирано пътуване с обща цена.
Аргументите, които бяха изложени тогава от тях и от госпожа Крушкова – председател на Агенцията по туризъм, бяха, че ако се пристигне на летището, трябва поне да се разреши тези деца и ученици да бъдат превозени до хотела в съответния град. Ако наистина това е истинската причина за включването на текста, аз държа да се запише “трансфери до 30 км.”, защото и петте летища в България за обществен въздушен транспорт – София, Пловдив, Варна, Бургас, Горна Оряховица, не отстоят на повече от 30 км. Ако обаче не подкрепите предложението, то знайте, че днес, един ден преди да започне учебната година, вие давате възможност да се извършват нощни пътувания под формата на трансфер от единия край на България до другия край.
Подкрепете предложението, за да бъдем сигурни, че нашите деца и ученици няма да бъдат изложени на подобен риск. Благодаря ви.
",Иван Николаев Иванов,parl-member
61042a817ba645282cb84fb4,60d4cc58c4ced20a9c9dfec2,"Имаме необходимия  кворум. Откривам днешното пленарно заседание.
Уважаеми колеги, преди да продължим с точката от вчерашното пленарно заседание – Законопроекта за трансплантацията, по който предстои да продължи представянето на вносителите и след това дискусия по законопроектите, имаме да извършим няколко гласувания на законопроекти, дискутирани в предишните дни.
Позволете ми преди това да направя предложение по реда на ал. 5 на чл. 40, а именно да включим в днешния дневен ред като т. 1 Проект за решение за прекратяване на пълномощията на народен представител. Постъпило е такова искане. За да можем да го разгледаме, трябва да го включим в дневния ред.
Затова правя предложение като т. 1 на днешното заседание, след гласуванията, които са ни останали, да разгледаме този проект за решение.
Моля, гласувайте.
Гласували 142 народни представители: за 139, против 1, въздържали се 2.
Предложението се приема.
Това става т. 1 на днешното ни заседание.
Преминаваме към гласуване текстовете от доклада на второ четене на Законопроекта за автомобилните превози.
Уважаеми колеги, предстои да извършим три гласувания – първото е ан блок текстовете до § 28, който става § 29, тоест до параграфа, в който се съдържа предложението на господин Иван Иванов; след това ще гласуваме неговото предложение и съответно параграфа в окончателната му редакция и третото гласуване е текстовете до края на законопроекта.
Първото гласуване е: § 7 по вносител, нови § 8 и 9 по предложението на народния представител Радослав Илиевски, обозначените в доклада §7б и §7в, които стават §8 и §9; §8, който става § 10 по вносител; по предложение на господин Илиевски нови § 8а и § 8б, които получават номерацията 11 и 12; § 9, който става § 13 по вносител; § 10, който става § 14 в редакция на комисията; параграфи от 11 до 18, които стават параграфи от 15 до 22 по вносител; § 19, който става § 23 по комисия; § 20, който става § 24 по вносител; нов § 25 по предложение и в редакция на комисията; параграфи от 21 до 23, които стават параграфи от 26 до 28 по вносител.
Моля, гласувайте тези текстове.
Гласували 154 народни представители: за 152, против няма, въздържали се 2.
Текстовете са приети.
По § 28, който ще стане § 29 при окончателната номерация, има направено предложение от народния представител Иван Николаев Иванов в пленарната зала – след думата “трансферите” да се добавят думите “до 30 км”. Това предложение беше дискутирано и сега предстои да го гласуваме.
Моля, гласувайте предложението на господин Иванов, направено в пленарната зала.
Гласували 139 народни представители: за 62, против 7, въздържали се 70.
Предложението не се приема.
Господин Иванов, заповядайте за предложение за прегласуване.",Председател Георги Пирински,house-speaker
61042a817ba645282cb84fb4,60d4cc58c4ced20a9c9dfdc0,"Благодаря Ви, господин Найденов.
Уважаеми народни представители, имате думата за изказвания по този ратификационен законопроект.
Господин Шопов, заповядайте.",Председател Камелия Касабова,house-speaker
61042a817ba645282cb84fb4,60d4cc59c4ced20a9c9e00d1,"Благодаря Ви, госпожо председател.
“ДОКЛАД
относно Законопроект за ратифициране на Споразумението между правителството на Република България и правителството на Ислямска република Афганистан относно безвъзмездно предоставяне на въоръжение и бойни припаси,
№ 702-02-32, внесен от Министерския съвет на 25.07.2007 г.
На провелото се на 13 септември 2007 г. съвместно заседание Комисията по отбраната и Комисията по външна политика разгледаха внесения законопроект. Мотивите на вносителите изложиха представители на Министерството на отбраната, Генералния щаб на Българската армия и Министерството на външните работи.
Република България последователно дава своя принос в процеса на възстановяване на Афганистан както чрез участието си в Международните сили за поддържане на сигурността (ISAF), така и с предоставените досега дарения. Това допринася за издигане на международния и съюзнически авторитет на страната.
Повишаването на степента на сигурност в Афганистан е свързано както с осъществяването на операцията на ISAF, така и с възможността Афганистанската национална армия да оперира самостоятелно или съвместно с коалиционните сили. В този аспект е изключително важно създаването на реални бойни възможности на армията на Афганистан, което напълно кореспондира с политическите цели на провежданата от НАТО операция.
В желанието си да подпомогне афганистанските въоръжени сили в стремежа им за изпълнение на посочените по-горе задачи, Министерството на отбраната съгласува с НАТО и разработи проект на Споразумение между правителството на Република България и правителството на Ислямска република Афганистан относно безвъзмездно предоставяне на въоръжение и бойни припаси. Одобреният от Министерския съвет проект на споразумение е подписан от българска страна от министъра на отбраната на Република България на 6 юни 2007 г. в София.
Предмет на дарението са въоръжение и бойни припаси на стойност около 7 840 000 щатски долара в съответствие със съгласуван с НАТО списък на конкретни номенклатури.
В резултат от проведеното обсъждане и предвид изложените мотиви Комисията по отбрана и Комисията по външна политика приеха следното становище:
Предлагат на Народното събрание на основание чл. 85, ал. 1, т. 1 от Конституцията на Република България да ратифицира със закон Споразумението между правителството на Република България и правителството на Ислямска република Афганистан относно безвъзмездно предоставяне на въоръжение и бойни припаси.
Становището е прието на 13 септември 2007 г. с 10 гласа “за” и 2 “против” в Комисията по отбраната и с 9 гласа “за” и 2 “въздържал се” в Комисията по външна политика.”",Докладчик Ангел Найденов,rapporteur
61042a817ba645282cb84fb4,60d4cc58c4ced20a9c9dfdc0,"Благодаря, господин Паница.
Уважаеми дами и господа, имате думата за изказвания по законопроекта. Има ли желаещи да вземат отношение по него? Не виждам.
С това обявявам дискусията по законопроекта за приключена. Гласуването ще бъде в деня за гласувания следващата седмица.

Следващата точка от дневния ред е:
ЗАКОНОПРОЕКТ ЗА РАТИФИЦИРАНЕ НА СПОРАЗУМЕНИЕТО МЕЖДУ ПРАВИТЕЛСТВОТО НА РЕПУБЛИКА БЪЛГАРИЯ И ПРАВИТЕЛСТВОТО НА ИСЛЯМСКА РЕПУБЛИКА АФГАНИСТАН, ОТНОСНО БЕЗВЪЗМЕЗДНО ПРЕДОСТАВЯНЕ НА ВЪОРЪЖЕНИЕ И БОЙНИ ПРИПАСИ № 702-02-32.
Има доклад на Комисията по отбраната и Комисията  по външна политика. Това е единственият доклад по законопроекта.
Заповядайте, господин Найденов, за да представите съвместния доклад.",Председател Камелия Касабова,house-speaker
61042a817ba645282cb84fb4,60d4cc58c4ced20a9c9dfdc5,"Благодаря, госпожо председател.
Уважаеми колеги, последната промяна на Закона за трансплантация на органи, тъкани и клетки създаде възможност за злоупотреби в хода на трансплантацията и трансплантационния процес, като въведе така нареченото понятие “разумно кратък срок”. Това дава възможност, чрез това понятие, да се спекулира с възможността близките на починалия да дадат императивно своето разрешение за експлантация.
С отпадането на понятието „разумно кратък срок”, което ние предлагаме в законопроекта, се подобрява възможността за прозрачност и контрол над тази дейност – процесът на експлантация на органи и тъкани от починали лица, както и за стриктно спазване на принципа на доброволност и съгласие в процеса на трансплантация.
На второ място, по § 2 на законопроекта станаха, както ви е добре известно, скандално известни факти около договора на Изпълнителната агенция по трансплантация с фирмата „Ост дивелъпмънт”, поради което се налагат промени в този фрагмент на законодателството. Недопустимо е разрешението за експлантация на трупове, подлежащи на съдебно-медицинска експертиза, и по-точно на тъкани и кости, да се извършва от съдебен лекар, който сам дава разрешение на себе си по няколко причини. Съдебният лекар получава възнаграждение за всяка експлантация на кости. Той дава сам разрешение за експлантацията. Освен че е финансово заинтересован, по този начин се опорочава целият процес на съдебно-медицинската експертиза. Защо? Защото преди да се извърши самата съдебно-медицинска експертиза се извършва експлантацията на костите. За да се извърши експлантация на кости, трябва да има дезинфекция на крайниците. Най-често това са дълги тръбести кости на феморалната, бедрената част и подбедрената част. След като има дезинфекция, не е възможно никаква съдебно-медицинска експертиза – изтриват се петна от кръв по повърхността на кожата, които имат важно съдебно-медицинско значение, други биологични екскременти от повърхността на кожата и последвалата съдебно-медицинска експертиза въобще не е такава. Така че, има ли предварителна експлантация на кости, подложено ли е на тази процедура, вече последвалата съдебно-медицинска експертиза не е такава по същество.
Нашето предложение е това разрешение да се дава от главния прокурор, като имаме предвид, че не директно от него, а хората, които са на административно подчинение на главния прокурор. Ние не измисляме това понятие. То е въведено във Франция. Такава процедура съществува във Франция. За това имаме положителното становище на Върховна касационна прокуратура.
Вчера съвсем бегло бяха споменати някои фрагменти от писмото на Върховна касационна прокуратура, но не се съобщи най-важното, цитирам: „За да се гарантира качеството на процесуално-следствените действия, предлагам разрешението за вземането на органи, тъкани и клетки от труп, който подлежи на съдебно-медицинска експертиза, да се дава от компетентния окръжен или градски прокурор или негов заместник.” Така че позицията на Върховна касационна прокуратура е позитивна.
По § 3, 4 и 5 от законопроекта. Скандалният договор с „Ост дивелтмънт” показа и други дефекти в законодателството. Знаете, че договорът е сключен с Министерство на здравеопазването и е секретен, което е скандално. А защо е скандален сега ще ви кажа.


Ние направихме една проверка какви количества кости се изнасят от България. Тази проверка беше адресирана чрез писмо до министъра на финансите Пламен Орешарски, по-точно отдел “Митници”, където има неопровержими данни какви количества кости се изнасят от България. За периода 2002-2006 г., слушайте внимателно, от България са изнесени 17 хил. 77 кг кости – 17 тона кости! Това е повече, отколкото износа на Съединените щати, Канада и Европейския съюз, взети заедно! Явно е, че става дума за далавера. Печалбата на някои фирми е от порядъка на 93 млн. долара! И ние мълчим на този скандален факт!
За да може в бъдеще да се избегне възможността да се сключват подобни неизгодни договори, от които ставаме за смях, от този фантастичен експорт, ние предлагаме промени в параграфи 3, 4 и 5 и по-точно режимът за органите, действащ в момента, да се изравни с този за тъканите, въпреки че има други аналози в международните договори. Този скандален факт – тези 17 тона кости налагат това нещо. Благодаря ви.",Васил Паница,parl-member
61042a817ba645282cb84fb4,60d4cc58c4ced20a9c9dfdc0,"Вносителите желаят ли да представят законопроекта?
Заповядайте, господин Паница.",Председател Камелия Касабова,house-speaker
